seed,rate,policy,dataset_size,benchmark,cache0_hits,cache0_misses,cache0_writebacks,clock_cycles,cache0_ID,cache1_hits,cache1_misses,cache1_writebacks,cache1_expired_leases,cache1_multi_expired,cache1_default_renewals,cache1_default_misses,cache1_random_evicts,cache1_ID
1,128,PRL,small,gramschmidt,4839793,14,0,5609478,4,1329229,17171,15348,12595,6893,0,0,4576,8
1,128,PRL,small,heat-3d,13753576,11,0,16276270,4,3662716,69766,33067,66198,58362,2,0,3568,8
1,128,PRL,small,jacobi-1d,2173065,133,0,2206488,4,311677,3,0,0,0,44,1,0,8
1,128,PRL,small,jacobi-2d,12453890,9,0,15144132,4,3641828,75293,39287,73224,67203,1,0,2069,8
1,128,PRL,small,lu,5859951,6,0,7266621,4,1695422,39598,999,31169,25164,0,0,8429,8
1,128,PRL,small,ludcmp,5455574,10,0,6811712,4,1164638,38102,969,34594,30182,124,107,3508,8
1,128,PRL,small,mvt,290175,4,0,416931,4,83112,3528,130,3528,3528,240,13,0,8
1,128,PRL,small,nussinov,16076574,15,0,22775578,4,2852001,160212,1902,80031,62691,2,1,80181,8
1,128,PRL,small,seidel-2d,9643209,8,0,11074947,4,2280917,31884,31491,31266,22578,1,0,618,8
1,128,PRL,small,symm,2386248,7,0,3271695,4,850847,17955,8972,14984,7581,2,0,2971,8
1,128,PRL,small,syr2k,3573954,6,0,6352284,4,1100143,72739,534,68263,62202,2,0,4476,8
1,128,PRL,small,syrk,2397877,4,0,2639680,4,777304,6778,399,6771,6736,2,0,7,8
1,128,PRL,small,trisolv,73319,4,0,94884,4,21331,569,68,569,569,242,64,0,8
1,128,PRL,small,trmm,1488447,6,0,1762880,4,426757,7644,348,6977,5609,1,0,667,8
1,256,SHEL,small,2mm,3195761,9,0,3733004,4,893348,15054,458,12659,9845,2,2,2395,8
1,256,SHEL,small,3mm,5483943,12,0,6458786,4,1601027,27273,650,25172,19404,0,0,2101,8
1,256,SHEL,small,adi,9657653,16,0,13180339,4,2622096,92596,61049,74374,61429,252,80,18222,8
1,256,SHEL,small,atax,304227,7,0,334141,4,99987,825,29,825,825,93,7,0,8
1,256,SHEL,small,bicg,246306,5,0,291177,4,114477,835,23,835,835,87,7,0,8
1,256,SHEL,small,cholesky,2966629,8,0,3539138,4,862465,15995,656,14456,8903,478,293,1539,8
1,256,SHEL,small,correlation,3782373,15,0,13160206,4,771241,263566,4816,156620,61041,168,10,106946,8
1,256,SHEL,small,covariance,3755783,10,0,13228357,4,755427,266455,4858,150265,54549,82,6,116190,8
1,256,SHEL,small,deriche,2075032,20,0,5456475,4,308303,84933,40820,83579,77373,20,10,1354,8
