seed,rate,num_ways,cache_size,policy,dataset_Size,benchmark_name,predicted_misses
2,256,512,512,CLAM,medium,bicg,12542
2,256,512,512,CLAM,medium,lu,1261017
2,256,512,512,CLAM,medium,seidel-2d,991013
2,256,512,512,CLAM,medium,gesummv,10302
2,256,512,512,CLAM,medium,floyd-warshall,7655125
2,256,512,512,CLAM,medium,doitgen,8467
2,512,512,512,CLAM,small,deriche,18075
2,512,512,512,CLAM,small,fdtd-2d,32098
2,512,512,512,CLAM,small,syrk,2465
2,512,512,512,CLAM,small,nussinov,37623
2,512,512,512,CLAM,small,durbin,37
2,512,512,512,CLAM,small,2mm,2828
2,512,512,512,CLAM,small,gramschmidt,3525
2,512,512,512,CLAM,small,3mm,2822
2,512,512,512,CLAM,small,adi,34017
2,512,512,512,CLAM,small,symm,3147
2,512,512,512,CLAM,small,syr2k,1897
2,512,512,512,CLAM,small,cholesky,1312
2,512,512,512,CLAM,small,atax,617
2,512,512,512,CLAM,small,gemver,2456
2,512,512,512,CLAM,small,gemm,1779
2,512,512,512,CLAM,small,jacobi-2d,46771
2,512,512,512,CLAM,small,jacobi-1d,850
2,512,512,512,CLAM,small,mvt,1098
2,512,512,512,CLAM,small,heat-3d,35235
2,512,512,512,CLAM,small,trmm,1104
2,512,512,512,CLAM,small,covariance,425
2,512,512,512,CLAM,small,correlation,9534
2,512,512,512,CLAM,small,trisolv,470
2,512,512,512,CLAM,small,ludcmp,2004
2,512,512,512,CLAM,small,bicg,2340
2,512,512,512,CLAM,small,lu,139
2,512,512,512,CLAM,small,seidel-2d,21349
2,512,512,512,CLAM,small,gesummv,981
2,512,512,512,CLAM,small,floyd-warshall,312501
2,512,512,512,CLAM,small,doitgen,765
2,512,512,512,CLAM,medium,deriche,564659
2,512,512,512,CLAM,medium,fdtd-2d,1761022
2,512,512,512,CLAM,medium,syrk,288215
2,512,512,512,CLAM,medium,nussinov,1345070
2,512,512,512,CLAM,medium,durbin,66
2,512,512,512,CLAM,medium,2mm,855655
2,512,512,512,CLAM,medium,gramschmidt,333428
2,512,512,512,CLAM,medium,3mm,1320508
2,512,512,512,CLAM,medium,adi,1973451
2,512,512,512,CLAM,medium,symm,543879
