seed,rate,policy,dataset_size,benchmark,cache0_hits,cache0_misses,cache0_writebacks,clock_cycles,cache0_ID,cache1_hits,cache1_misses,cache1_writebacks,cache1_ID,cacheL2_hits,cacheL2_misses,cacheL2_writebacks,cacheL2_expired_leases,cacheL2_multi_expired,cacheL2_default_renewals,cacheL2_default_misses,cacheL2_random_evicts,cacheL2_ID
1,64,SHEL,small,deriche,2075033,19,0,5,33554436,141447,251789,101442,33554436,332675,20575,9440,20068,19607,19,11,507,8
1,64,SHEL,small,fdtd-2d,8174705,14,0,5,33554436,2038811,608161,210546,33554436,761077,57644,35966,30753,24114,47,45,26891,8
1,64,SHEL,small,gemver,537417,10,0,5,33554436,159366,14036,1320,33554436,13289,2077,1142,1323,958,88,31,754,8
1,64,SHEL,small,heat-3d,13754691,13,0,5,33554436,3659681,72801,33210,33554436,69667,36357,23068,35138,25865,88,43,1219,8
1,64,SHEL,small,jacobi-2d,12454770,9,0,5,33554436,3636880,80241,39750,33554436,75801,44199,31558,42000,21571,64,16,2199,8
1,64,SHEL,small,lu,5862837,7,0,5,33554436,1664420,70600,958,33554436,68098,3467,1092,3225,2483,0,0,242,8
1,64,SHEL,small,ludcmp,5458469,14,0,5,33554436,1131194,71784,1085,33554436,68284,4599,1175,2676,1612,104,97,1923,8
1,64,SHEL,small,mvt,290196,5,0,5,33554436,82307,4333,205,33554436,3235,1308,407,1304,1291,9,8,4,8
1,128,CLAM,small,2mm,3195741,7,0,5,33554436,874474,33928,577,33554436,33390,1122,573,962,846,179,127,160,8
1,128,CLAM,small,3mm,5483912,10,0,5,33554436,1565843,62457,912,33554436,61203,2176,939,1997,1806,175,175,179,8
1,128,CLAM,small,adi,9656304,15,0,5,33554436,1601973,1112439,563907,33554436,1629229,47132,41690,30520,25945,41,1,16458,8
1,128,CLAM,small,atax,304227,7,0,5,33554436,99090,1722,497,33554436,1687,539,72,539,539,78,2,0,8
1,128,CLAM,small,bicg,246304,7,0,5,33554436,105766,9546,4352,33554436,13287,618,87,618,618,17,9,0,8
1,128,CLAM,small,cholesky,2966629,8,0,5,33554436,857579,20881,594,33554436,20649,834,395,752,738,130,95,82,8
1,128,CLAM,small,correlation,3782327,17,0,5,33554436,557187,477620,4194,33554436,477806,4025,1317,829,614,99,30,3196,8
1,128,CLAM,small,covariance,3755750,10,0,5,33554436,545486,476396,4030,33554436,476496,3940,1257,723,467,3,1,3217,8
1,128,CLAM,small,deriche,2074963,19,0,5,33554436,141446,251786,101440,33554436,332016,21229,9363,16587,14732,14,10,4642,8
