seed,rate,policy,dataset_size,benchmark,cache0_hits,cache0_misses,cache0_writebacks,clock_cycles,cache0_ID,cache1_hits,cache1_misses,cache1_writebacks,cache1_ID,cacheL2_hits,cacheL2_misses,cacheL2_writebacks,cacheL2_expired_leases,cacheL2_multi_expired,cacheL2_default_renewals,cacheL2_default_misses,cacheL2_random_evicts,cacheL2_ID
1,64,PRL,medium,symm,77519117,7,0,5,33554436,20506300,8341702,3970376,33554436,11664558,647527,312421,542756,474871,1,1,104771,8
1,64,PRL,medium,syr2k,104825474,6,0,5,33554436,23618778,11143064,528312,33554436,10773398,897984,10701,596735,533202,0,0,301249,8
1,64,PRL,medium,syrk,70025237,4,0,5,33554436,19265679,3928163,294351,33554436,3892766,329752,3294,272925,255858,0,0,56827,8
1,64,PRL,medium,trisolv,804399,4,0,5,33554436,235673,5327,128,33554436,610,4849,43,4849,4849,134,112,0,8
1,64,PRL,medium,trmm,48382473,6,0,5,33554436,6283866,8140135,3727,33554436,7845332,298536,3067,252640,234872,0,0,45896,8
1,64,SHEL,medium,2mm,155021443,8,0,5,33554436,30495159,13736243,8672,33554436,12895487,849436,5248,834011,719755,2,2,15425,8
1,64,SHEL,medium,3mm,229121807,11,0,5,33554436,47020559,21491341,13518,33554436,20196290,1308580,7573,1288901,981612,1,1,19679,8
1,64,SHEL,medium,adi,279224115,14,0,5,33554436,45461609,33145103,16440177,33554436,47074576,2510718,1691646,1773992,1318449,6,5,736726,8
1,64,SHEL,medium,correlation,84441091,17,0,5,33554436,8441704,14611503,35855,33554436,13693885,953490,35060,477803,61813,40,39,475687,8
1,64,SHEL,medium,covariance,84246181,12,0,5,33554436,8351912,14604930,34641,33554436,13666106,973477,35029,458733,61325,17,17,514744,8
1,64,SHEL,medium,deriche,29070094,18,0,5,33554436,1987214,3542406,1425666,33554436,3794876,1173214,457675,1161947,796444,20,16,11267,8
1,64,SHEL,medium,fdtd-2d,205772724,15,0,5,33554436,51389411,15484001,5356266,33554436,18811545,2028737,904552,1956906,1113617,110,83,71831,8
1,64,SHEL,medium,gemver,5935258,10,0,5,33554436,1684951,237051,12763,33554436,215182,34642,10522,24377,23205,80,78,10265,8
1,64,SHEL,medium,heat-3d,322399505,16,0,5,33554436,84846501,2952601,729800,33554436,2191763,1490654,729012,1490371,1473347,8,8,283,8
1,64,SHEL,medium,jacobi-2d,246464909,10,0,5,33554436,72248200,1556601,775280,33554436,862825,1469066,772156,1464178,1062732,0,0,4888,8
1,64,SHEL,medium,lu,214459195,10,0,5,33554436,47852917,16226483,10042,33554436,14702220,1534315,10259,899122,861468,0,0,635193,8
1,64,SHEL,medium,ludcmp,194887567,17,0,5,33554436,26910113,16318485,86404,33554436,14876803,1528103,10948,941885,897190,61,61,586218,8
1,64,SHEL,medium,mvt,3207236,5,0,5,33554436,780124,180676,399,33554436,161410,19670,545,19670,19670,131,27,0,8
1,128,CLAM,medium,2mm,155021420,9,0,5,33554436,30495159,13736243,8672,33554436,12790456,954468,5258,808918,652430,1,1,145550,8
1,128,CLAM,medium,3mm,229121775,10,0,5,33554436,47020559,21491341,13518,33554436,20038351,1466518,7749,1207084,950835,0,0,259434,8
1,128,CLAM,medium,adi,279220724,15,0,5,33554436,45461209,33144803,16440176,33554436,46889875,2695119,1776466,1689124,1211223,4,3,1005995,8
1,128,CLAM,medium,atax,3365102,10,0,5,33554436,1096464,23252,6359,33554436,19659,9962,222,9962,9962,96,31,0,8
1,128,CLAM,medium,bicg,2724139,7,0,5,33554436,1228118,51888,20760,33554436,62650,10005,379,10005,10005,2,2,0,8
1,128,CLAM,medium,cholesky,107626426,11,0,5,33554436,31453943,706257,5244,33554436,93981,617531,5468,591193,295752,32,29,26338,8
1,128,CLAM,medium,correlation,84441048,16,0,5,33554436,8441704,14611503,35855,33554436,13641112,1006262,35063,459486,64071,39,38,546776,8
1,128,CLAM,medium,covariance,84246150,10,0,5,33554436,8351912,14604930,34641,33554436,13638997,1000584,35018,456722,62654,3,2,543862,8
1,128,CLAM,medium,deriche,29070024,18,0,5,33554436,1987212,3542404,1425664,33554436,3380689,1587397,753485,500180,258260,16,13,1087217,8
1,128,CLAM,medium,doitgen,74304235,9,0,5,33554436,17466896,4493108,21660,33554436,4507399,7378,7363,7378,7378,4,3,0,8
1,128,CLAM,medium,durbin,1844815,23,0,5,33554436,558661,49,2,33554436,3,71,0,0,0,59,56,0,8
1,128,CLAM,medium,fdtd-2d,205704126,9,0,5,33554436,51338701,15469901,5356164,33554436,18717752,2108322,901903,1684404,891539,0,0,423918,8
1,128,CLAM,medium,floyd-warshall,1884921847,4,0,5,33554436,375107938,7811895,7685344,33554436,7787138,7710105,7553313,7680077,4601953,2,2,30028,8
1,128,CLAM,medium,gemm,127457413,6,0,5,33554436,41652396,675606,7634,33554436,111167,572079,4519,568687,377210,1,1,3392,8
1,128,CLAM,medium,gemver,5935613,11,0,5,33554436,1684951,237051,12763,33554436,211193,38632,10398,24279,22404,83,82,14353,8
1,128,CLAM,medium,gesummv,1066511,4,0,5,33554436,477114,23888,10160,33554436,26475,7577,154,7577,7577,15,1,0,8
1,128,CLAM,medium,gramschmidt,144281270,14,0,5,33554436,17241796,23102204,5793552,33554436,28479449,416321,386714,354880,317456,2,2,61441,8
1,128,CLAM,medium,heat-3d,322407515,14,0,5,33554436,85420000,2968002,739100,33554436,2198801,1508315,729832,1484721,1203765,34,8,23594,8
1,128,CLAM,medium,jacobi-1d,18164859,6039,0,5,33554436,2617444,9856,3222,33554436,19019,98,0,0,0,312,4,0,8
1,128,CLAM,medium,jacobi-2d,246462710,9,0,5,33554436,72248200,1556601,775280,33554436,824865,1507025,774464,1458384,1078348,103,97,48641,8
1,128,CLAM,medium,lu,214449588,9,0,5,33554436,47852917,16226483,10042,33554436,14731044,1505490,10237,844811,804230,2,2,660679,8
1,128,CLAM,medium,ludcmp,194877949,15,0,5,33554436,26909714,16318086,86010,33554436,14839594,1564517,10806,773024,730522,191,146,791493,8
1,128,CLAM,medium,mvt,3207215,4,0,5,33554436,780124,180676,399,33554436,160937,20142,595,19712,19479,125,26,430,8
1,128,CLAM,medium,nussinov,337120268,18,0,5,33554436,44797275,18449978,8341,33554436,16774354,1683983,8721,1172261,1104979,35,32,511722,8
1,128,CLAM,medium,seidel-2d,270759711,8,0,5,33554436,63078000,1000001,995025,33554436,1016997,978037,971464,976953,871452,103,5,1084,8
1,128,CLAM,medium,symm,77519117,7,0,5,33554436,20506300,8341702,3970376,33554436,11586351,725734,344191,453487,366850,1,1,272247,8
1,128,CLAM,medium,syr2k,104825474,6,0,5,33554436,23618778,11143064,528312,33554436,10533668,1137714,17883,504040,474796,0,0,633674,8
1,128,CLAM,medium,syrk,70025237,4,0,5,33554436,19265679,3928163,294351,33554436,3872526,349992,4370,242772,222807,0,0,107220,8
